dog_count,primary_breed,address
4,Pit Bull Terrier,"l536 Hackleburg Road , Cheboygan, MI 49721"
4,Shepherd,"3279 E Laketon Ave , Muskegon, MI 49442"
4,Staffordshire Bull Terrier,"3365 Freeland Road , Saginaw, MI 48604"
4,Terrier,"165 S. Union , Battle Creek, MI 49014"
4,Terrier,"Warren, MI 48089"
4,Weimaraner,"Muskegon, MI 49442"
4,Whippet,"Grand Rapids, MI 49505"
3,Alaskan Malamute,"Gladwin, MI 48624"
3,American Bulldog,"Birmingham, MI 48012"
3,American Staffordshire Terrier,"11350 22 Mile Road , Utica, MI 48317"
3,American Staffordshire Terrier,"1367 S. M-33 , West Branch, MI 48661"
3,American Staffordshire Terrier,"2738 W. Caro Road , Caro, MI 48723"
3,American Staffordshire Terrier,"Detroit, MI 48219"
3,American Staffordshire Terrier,"P.O. Box 190121 , Burton, MI 48519"
3,American Staffordshire Terrier,"P.O. Box 233 , Belleville, MI 48111"
3,American Staffordshire Terrier,"PO Box 180155 , Utica, MI 48318"
3,American Staffordshire Terrier,"PO Box 606 , Garden City, MI 48136"
3,Australian Cattle Dog / Blue Heeler,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
3,Beagle,"Clinton Township, MI 48036"
3,Beagle,"PO Box 475 7645 West 48th Street, Fremont, MI 49412"
3,Belgian Shepherd / Malinois,"Pontiac, MI 48341"
3,Border Collie,"White Lake, MI 48386"
3,Boxer,"2293 33rd Street , Allegan, MI 49010"
3,Boxer,"969 Wildwood Rd , Quincy, MI 49082"
3,Boxer,"Clinton Township, MI 48036"
3,Boxer,"Muskegon, MI 49442"
3,Cane Corso,"P.O. Box 233 , Belleville, MI 48111"
3,Chihuahua,"Livonia, MI 48152"
3,German Shepherd Dog,"3100 Cherry Hill Road , Ann Arbor, MI 48105"
3,German Shepherd Dog,"Detroit, MI 48216"
3,German Shepherd Dog,"Plymouth, MI 48170"
3,Great Dane,"Warren, MI 48089"
3,Hound,"3100 Cherry Hill Road , Ann Arbor, MI 48105"
3,Husky,"219 Peekstock Drive , Kalamazoo, MI 49001"
3,Husky,"2293 33rd Street , Allegan, MI 49010"
3,Husky,"Battle Creek, MI 49017"
3,Labrador Retriever,"1105 S. Isabella Road , Mount Pleasant, MI 48858"
3,Labrador Retriever,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
3,Labrador Retriever,"2293 33rd Street , Allegan, MI 49010"
3,Labrador Retriever,"969 Wildwood Rd , Quincy, MI 49082"
3,Labrador Retriever,"Clinton Township, MI 48036"
