Address,Most Popular Breed,Number of Dogs
"2640 Marquette  Avenue , Muskegon, MI 49442",Pit Bull Terrier,1
"2640 Marquette  Avenue , Muskegon, MI 49442",Terrier,1
"2675 W. Washington Road , Ithaca, MI 48847",American Bully,1
"2675 W. Washington Road , Ithaca, MI 48847",Pit Bull Terrier,1
"2738 W. Caro Road , Caro, MI 48723",American Bully,1
"2738 W. Caro Road , Caro, MI 48723",Labrador Retriever,1
"2738 W. Caro Road , Caro, MI 48723",Siberian Husky,1
"2752 W. Bennington Road , Owosso, MI 48867",Catahoula Leopard Dog,1
"2752 W. Bennington Road , Owosso, MI 48867",Coonhound,1
"2752 W. Bennington Road , Owosso, MI 48867",English Bulldog,1
"2752 W. Bennington Road , Owosso, MI 48867",Spaniel,1
"27796 John R , Madison Heights, MI 48071",Labrador Retriever,1
"27796 John R , Madison Heights, MI 48071",Mixed Breed,1
"27796 John R , Madison Heights, MI 48071",Presa Canario,1
"27796 John R , Madison Heights, MI 48071",Shepherd,1
"27942 Woodward Ave , Royal Oak, MI 48073",Pit Bull Terrier,1
"303 Valley Ave. , Alma, MI 48801",Belgian Shepherd / Malinois,1
"303 Valley Ave. , Alma, MI 48801",Chihuahua,1
"303 Valley Ave. , Alma, MI 48801",Coonhound,1
"303 Valley Ave. , Alma, MI 48801",Harrier,1
"303 Valley Ave. , Alma, MI 48801",Pit Bull Terrier,1
"305 N.Meyers Road , Ludington, MI 49431",Golden Retriever,1
"305 N.Meyers Road , Ludington, MI 49431",Labrador Retriever,1
"305 N.Meyers Road , Ludington, MI 49431",Mastiff,1
"305 N.Meyers Road , Ludington, MI 49431",White German Shepherd,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",American Bulldog,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Border Collie,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Bull Terrier,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Cattle Dog,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Flat-Coated Retriever,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Labrador Retriever,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Retriever,1
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Shepherd,1
"323 M-62 North PO Box 132, Cassopolis, MI 49031",Anatolian Shepherd,1
"323 M-62 North PO Box 132, Cassopolis, MI 49031",Boxer,1
"323 M-62 North PO Box 132, Cassopolis, MI 49031",Cane Corso,1
"323 M-62 North PO Box 132, Cassopolis, MI 49031",Labrador Retriever,1
"3279 E Laketon Ave , Muskegon, MI 49442",Alaskan Malamute,1
"3279 E Laketon Ave , Muskegon, MI 49442",Cane Corso,1
"3279 E Laketon Ave , Muskegon, MI 49442",Catahoula Leopard Dog,1
"3279 E Laketon Ave , Muskegon, MI 49442",Coonhound,1
"3279 E Laketon Ave , Muskegon, MI 49442",English Bulldog,1
"3279 E Laketon Ave , Muskegon, MI 49442",Mastiff,1
"3279 E Laketon Ave , Muskegon, MI 49442",Rottweiler,1
"3279 E Laketon Ave , Muskegon, MI 49442",Whippet,1
"3365 Freeland Road , Saginaw, MI 48604",American Bulldog,1
"3365 Freeland Road , Saginaw, MI 48604",American Staffordshire Terrier,1
"3365 Freeland Road , Saginaw, MI 48604",Labrador Retriever,1
"3365 Freeland Road , Saginaw, MI 48604",Shepherd,1
"3365 Freeland Road , Saginaw, MI 48604",Terrier,1
"3378 Griswold Road , Port Huron, MI 48060",American Bulldog,1
"3378 Griswold Road , Port Huron, MI 48060",Beagle,1
"3378 Griswold Road , Port Huron, MI 48060",Border Collie,1
"3378 Griswold Road , Port Huron, MI 48060",Coonhound,1
"3378 Griswold Road , Port Huron, MI 48060",Corgi,1
"3378 Griswold Road , Port Huron, MI 48060",Miniature Pinscher,1
"3378 Griswold Road , Port Huron, MI 48060",Pug,1
"3390 S Dog Track Rd. , Baldwin, MI 49304",Anatolian Shepherd,1
"3390 S Dog Track Rd. , Baldwin, MI 49304",Boxer,1
"3390 S Dog Track Rd. , Baldwin, MI 49304",Husky,1
"3390 S Dog Track Rd. , Baldwin, MI 49304",Rottweiler,1
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",American Bulldog,1
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",Beagle,1
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",Black Labrador Retriever,1
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",Boxer,1
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",German Wirehaired Pointer,1
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",Hound,1
"3750 Foco Rd PO Box 1131, Standish, MI 48658",Husky,1
"3750 Foco Rd PO Box 1131, Standish, MI 48658",Labrador Retriever,1
"3750 Foco Rd PO Box 1131, Standish, MI 48658",Rottweiler,1
"3750 Foco Rd PO Box 1131, Standish, MI 48658",Shepherd,1
"3853 Sparrow Drive , Ionia, MI 48846",Labrador Retriever,1
"3881 S Tripp Rd , Osseo, MI 49266",Carolina Dog,1
"3881 S Tripp Rd , Osseo, MI 49266",Feist,1
"3881 S Tripp Rd , Osseo, MI 49266",Pit Bull Terrier,1
"418 S. Highlander Way , Howell, MI 48843",Australian Cattle Dog / Blue Heeler,1
"418 S. Highlander Way , Howell, MI 48843",Boxer,1
"418 S. Highlander Way , Howell, MI 48843",Husky,1
"4371 E. Ashman , Midland, MI 48641",Boxer,1
"4371 E. Ashman , Midland, MI 48641",Labrador Retriever,1
"4371 E. Ashman , Midland, MI 48641",Shepherd,1
"457 W. Traverse Bay Rd. , Lincoln, MI 48742",Pit Bull Terrier,1
"4660 M-88 Hwy PO Box 568, Bellaire, MI 49615",Black Mouth Cur,1
"4660 M-88 Hwy PO Box 568, Bellaire, MI 49615",Boxer,1
"4660 M-88 Hwy PO Box 568, Bellaire, MI 49615",Staffordshire Bull Terrier,1
"502 N. SAVIDGE , Reed City, MI 49677",American Staffordshire Terrier,1
"502 N. SAVIDGE , Reed City, MI 49677",Black and Tan Coonhound,1
"502 N. SAVIDGE , Reed City, MI 49677",Chocolate Labrador Retriever,1
"502 N. SAVIDGE , Reed City, MI 49677",German Shepherd Dog,1
"502 N. SAVIDGE , Reed City, MI 49677",Mastiff,1
"502 N. SAVIDGE , Reed City, MI 49677",Saint Bernard,1
"51299 Arkona Rd. , Belleville, MI 48111",American Bulldog,1
"51299 Arkona Rd. , Belleville, MI 48111",Australian Cattle Dog / Blue Heeler,1
"51299 Arkona Rd. , Belleville, MI 48111",Hound,1
"5205 Airline Rd , Muskegon, MI 49443",Airedale Terrier,1
"5205 Airline Rd , Muskegon, MI 49443",American Staffordshire Terrier,1
"5205 Airline Rd , Muskegon, MI 49443",Caucasian Sheepdog / Caucasian Ovtcharka,1
"5205 Airline Rd , Muskegon, MI 49443",Chihuahua,1
"5205 Airline Rd , Muskegon, MI 49443",German Shepherd Dog,1
"5205 Airline Rd , Muskegon, MI 49443",Pit Bull Terrier,1
"5205 Airline Rd , Muskegon, MI 49443",Pointer,1
"5205 Airline Rd , Muskegon, MI 49443",Rottweiler,1
"5205 Airline Rd , Muskegon, MI 49443",Shiba Inu,1
"5205 Airline Rd , Muskegon, MI 49443",Terrier,1
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Bluetick Coonhound,1
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Catahoula Leopard Dog,1
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Labrador Retriever,1
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Pharaoh Hound,1
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Shepherd,1
"600 Buhl St , Mason, MI 48854",Border Collie,1
"600 Buhl St , Mason, MI 48854",Doberman Pinscher,1
"614 Beardsley St. , Boyne City, MI 49712",Hound,1
"614 Beardsley St. , Boyne City, MI 49712",Irish Wolfhound,1
"614 Beardsley St. , Boyne City, MI 49712",Labrador Retriever,1
"614 Beardsley St. , Boyne City, MI 49712",Pointer,1
"614 Beardsley St. , Boyne City, MI 49712",Retriever,1
"6266 Lapeer Road , Clyde, MI 48049",Labrador Retriever,1
"6266 Lapeer Road , Clyde, MI 48049",Norwegian Elkhound,1
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Australian Shepherd,1
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Beagle,1
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Boxer,1
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Catahoula Leopard Dog,1
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Chihuahua,1
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Hound,1
"7401 Chrysler Dr. , Detroit, MI 48211",Mixed Breed,1
"7887 Chrysler Drive , Detroit, MI 48211",Pomeranian,1
"7887 Chrysler Drive , Detroit, MI 48211",Terrier,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Akita,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",American Bulldog,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Australian Kelpie,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Black Labrador Retriever,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Boxer,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Cane Corso,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Coonhound,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Dachshund,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Great Pyrenees,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Hound,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Husky,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Mountain Cur,1
"8935 Thompson Rd. , Lake Odessa, MI 48849",Spaniel,1
"969 Wildwood Rd , Quincy, MI 49082",American Bulldog,1
"969 Wildwood Rd , Quincy, MI 49082",Basset Hound,1
"969 Wildwood Rd , Quincy, MI 49082",Cattle Dog,1
"969 Wildwood Rd , Quincy, MI 49082",Mixed Breed,1
"969 Wildwood Rd , Quincy, MI 49082",Treeing Walker Coonhound,1
"Ann Arbor, MI 48105",Coonhound,1
"Ann Arbor, MI 48105",Shepherd,1
"Battle Creek, MI 49016",American Staffordshire Terrier,1
"Bay City, MI 48706",Boxer,1
"Bay City, MI 48706",Labrador Retriever,1
"Bay City, MI 48706",Pit Bull Terrier,1
"Belleville, MI 48111",Akita,1
"Belleville, MI 48111",English Shepherd,1
"Belleville, MI 48111",Pit Bull Terrier,1
"Beulah, MI 49617",Siberian Husky,1
"Birmingham, MI 48012",Australian Shepherd,1
"Birmingham, MI 48012",Black Labrador Retriever,1
"Birmingham, MI 48012",Doberman Pinscher,1
"Birmingham, MI 48012",Great Dane,1
"Birmingham, MI 48012",Great Pyrenees,1
"Birmingham, MI 48012",Pit Bull Terrier,1
"Birmingham, MI 48012",Whippet,1
"Bloomfield Township, MI 48302",Mixed Breed,1
"CLINTON TOWNSHIP, MI 48035",American Staffordshire Terrier,1
"CLINTON TOWNSHIP, MI 48035",Cattle Dog,1
"CLINTON TOWNSHIP, MI 48035",Miniature Pinscher,1
"CLINTON TOWNSHIP, MI 48035",Shepherd,1
"CLINTON TOWNSHIP, MI 48035",Yellow Labrador Retriever,1
"Canton , MI 48187",Bernese Mountain Dog,1
"Cedar Springs, MI 49319",Labrador Retriever,1
"Cedar Springs, MI 49319",Pit Bull Terrier,1
"Charlotte, MI 48813",Black Mouth Cur,1
"Charlotte, MI 48813",Pit Bull Terrier,1
"Charlotte, MI 48813",Staffordshire Bull Terrier,1
"Chesterfield, MI 48047",Jack Russell Terrier,1
"Clinton Township, MI 48036",American Bulldog,1
"Clinton Township, MI 48036",English Bulldog,1
"Clinton Township, MI 48036",German Shepherd Dog,1
"Clinton, MI 49236",Beagle,1
"Clinton, MI 49236",Foxhound,1
"Coldwater, MI 49036",Australian Shepherd,1
"Coldwater, MI 49036",Chihuahua,1
"Coldwater, MI 49036",Chiweenie,1
"Coldwater, MI 49036",German Shepherd Dog,1
"Coldwater, MI 49036",Great Pyrenees,1
"Coldwater, MI 49036",Plott Hound,1
"Coldwater, MI 49036",Terrier,1
"Coldwater, MI 49036",Yellow Labrador Retriever,1
"Deerfield, MI 49238",Pit Bull Terrier,1
"Detroit, MI 48202",Akita,1
"Detroit, MI 48202",Boxer,1
"Detroit, MI 48202",Cairn Terrier,1
"Detroit, MI 48202",Carolina Dog,1
"Detroit, MI 48202",Chow Chow,1
"Detroit, MI 48202",Hound,1
"Detroit, MI 48202",Mastiff,1
"Detroit, MI 48202",Norwegian Elkhound,1
"Detroit, MI 48202",Poodle,1
"Detroit, MI 48202",Rottweiler,1
"Detroit, MI 48202",Shih Tzu,1
"Detroit, MI 48206",Australian Shepherd,1
"Detroit, MI 48216",Australian Shepherd,1
"Detroit, MI 48216",Basset Hound,1
"Detroit, MI 48216",Black Labrador Retriever,1
"Detroit, MI 48216",Bull Terrier,1
"Detroit, MI 48216",Poodle,1
"Detroit, MI 48216",Retriever,1
"Detroit, MI 48216",Rottweiler,1
"Detroit, MI 48216",Shepherd,1
"Detroit, MI 48216",Siberian Husky,1
"Detroit, MI 48219",American Bulldog,1
"Detroit, MI 48219",Boxer,1
"Detroit, MI 48219",Collie,1
"Detroit, MI 48219",English Pointer,1
"Detroit, MI 48219",Poodle,1
"Detroit, MI 48219",Retriever,1
"Detroit, MI 48219",Shar-Pei,1
"Detroit, MI 48219",Yellow Labrador Retriever,1
"Detroit, MI 48221",Bull Terrier,1
"Detroit, MI 48221",Staffordshire Bull Terrier,1
"Detroit, MI 48232",Australian Cattle Dog / Blue Heeler,1
"Detroit, MI 48232",Black Labrador Retriever,1
"Detroit, MI 48232",Mixed Breed,1
"Detroit, MI 48234",Great Dane,1
"East Lansing, MI 48823",Chihuahua,1
"East Lansing, MI 48823",Hound,1
"East Lansing, MI 48823",Pit Bull Terrier,1
"Eastpointe, MI 48021",American Bulldog,1
"Eastpointe, MI 48021",Border Collie,1
"Eastpointe, MI 48021",German Shepherd Dog,1
"Farmington Hills, MI 48336",American Staffordshire Terrier,1
"Fennville, MI 49408",Dogo Argentino,1
"Ferndale, MI 48220",Cattle Dog,1
"Ferndale, MI 48220",Chihuahua,1
"Ferndale, MI 48220",Great Pyrenees,1
"Ferndale, MI 48220",Husky,1
"Ferndale, MI 48220",Shepherd,1
"Ferndale, MI 48220",Siberian Husky,1
"Ferndale, MI 48220",White German Shepherd,1
"Ferndale, MI 48220",Yellow Labrador Retriever,1
"Ferndale, MI 48220",Yorkshire Terrier,1
"Flint, MI 48503",Mastiff,1
"Flint, MI 48503",Pit Bull Terrier,1
"Fowlerville, MI 48836",Shih Tzu,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",American Staffordshire Terrier,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",Boxer,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",Hound,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",Labrador Retriever,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",Pit Bull Terrier,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",Pointer,1
"G-4351 W Pasadena Avenue , Flint, MI 48504",Shar-Pei,1
"Gaylord, MI 49735",Siberian Husky,1
"Gladwin, MI 48624",Dachshund,1
"Grand Rapids, MI 49505",Boxer,1
"Grand Rapids, MI 49505",Dogue de Bordeaux,1
"Grand Rapids, MI 49505",German Shorthaired Pointer,1
"Grand Rapids, MI 49505",Great Pyrenees,1
"Grand Rapids, MI 49505",Shih Tzu,1
"Grand Rapids, MI 49505",Terrier,1
"Grand Rapids, MI 49507",Labrador Retriever,1
"Grand Rapids, MI 49507",Pit Bull Terrier,1
"Grand Rapids, MI 49525",American Staffordshire Terrier,1
"Grand Rapids, MI 49548",German Pinscher,1
"Grand Rapids, MI 49548",Pit Bull Terrier,1
"Grass Lake, MI 49240",Bernedoodle,1
"Grayling, MI 49738",Siberian Husky,1
"Grosse Pointe Park, MI 48230",Papillon,1
"Grosse Pointe Park, MI 48230",Spaniel,1
"Harrison, MI 48625",Australian Shepherd,1
"Harrison, MI 48625",Black Labrador Retriever,1
"Harrison, MI 48625",Feist,1
"Harrison, MI 48625",Italian Greyhound,1
"Harrison, MI 48625",Pit Bull Terrier,1
"Harrison, MI 48625",Shar-Pei,1
"Harrison, MI 48625",Shepherd,1
"Holly, MI 48442",American Bulldog,1
"Holly, MI 48442",American Staffordshire Terrier,1
"Holly, MI 48442",Boxer,1
"Holly, MI 48442",French Bulldog,1
"Holly, MI 48442",Pit Bull Terrier,1
"Holly, MI 48442",Staffordshire Bull Terrier,1
"Howell, MI 48844",American Staffordshire Terrier,1
"Howell, MI 48844",Chihuahua,1
"Howell, MI 48844",Rat Terrier,1
"Imlay City, MI 48444",German Shepherd Dog,1
"Imlay City, MI 48444",Shepherd,1
"Jackson, MI 49201",Jack Russell Terrier,1
"Jackson, MI 49202",Anatolian Shepherd,1
"Jackson, MI 49202",Staffordshire Bull Terrier,1
"Kalamazoo, MI 49001",Siberian Husky,1
"Kentwood, MI 49508",Bloodhound,1
"Kentwood, MI 49548",Border Collie,1
"Kentwood, MI 49548",Boxer,1
"Kentwood, MI 49548",Chihuahua,1
"Kentwood, MI 49548",Mountain Cur,1
"Kentwood, MI 49548",Shar-Pei,1
"Kentwood, MI 49548",Staffordshire Bull Terrier,1
"Kentwood, MI 49548",Treeing Walker Coonhound,1
"Kimball, MI 48074",Jack Russell Terrier,1
"Kimball, MI 48074",Labrador Retriever,1
"Kimball, MI 48074",Pomsky,1
"Kimball, MI 48074",Poodle,1
"Kingsley, MI 49649",Akita,1
"Lansing, MI 48911",Boxer,1
"Lansing, MI 48911",German Shepherd Dog,1
"Lansing, MI 48917",American Staffordshire Terrier,1
"Lincoln Park, MI 48146",Husky,1
"Lincoln Park, MI 48146",Labrador Retriever,1
"Lincoln Park, MI 48146",Pit Bull Terrier,1
"Linden, MI 48451",Australian Cattle Dog / Blue Heeler,1
"Linden, MI 48451",Wheaten Terrier,1
"Livonia, MI 48150",Shih Tzu,1
"Livonia, MI 48152",Australian Shepherd,1
"Livonia, MI 48152",Boxer,1
"Livonia, MI 48152",Cattle Dog,1
"Livonia, MI 48152",Coonhound,1
"Livonia, MI 48152",Dachshund,1
"Livonia, MI 48152",Dutch Shepherd,1
"Livonia, MI 48152",Feist,1
"Livonia, MI 48152",German Shepherd Dog,1
"Livonia, MI 48152",Golden Retriever,1
"Livonia, MI 48152",Hound,1
"Livonia, MI 48152",Mastiff,1
"Livonia, MI 48152",Miniature Pinscher,1
"Livonia, MI 48152",Pomeranian,1
"Livonia, MI 48152",Shiba Inu,1
"Livonia, MI 48152",Silky Terrier,1
"Livonia, MI 48152",Staffordshire Bull Terrier,1
"Ludington, MI 49431",Pit Bull Terrier,1
"Macomb, MI 48042",Beagle,1
"Macomb, MI 48042",Bernese Mountain Dog,1
"Macomb, MI 48042",Boxer,1
"Macomb, MI 48042",Hound,1
"Macomb, MI 48042",Husky,1
"Macomb, MI 48042",Mastiff,1
"Mancelona, MI 49659",Dachshund,1
"Mancelona, MI 49659",English Setter,1
"Mancelona, MI 49659",German Shepherd Dog,1
"Mancelona, MI 49659",Pit Bull Terrier,1
"Manistee, MI 49660",American Bully,1
"Manistee, MI 49660",Australian Cattle Dog / Blue Heeler,1
"Manistee, MI 49660",Chocolate Labrador Retriever,1
"Marine City, MI 48039",Husky,1
"Mason, MI 48854",Siberian Husky,1
"Metamora, MI 48455",Husky,1
"Midland, MI 48642",Australian Shepherd,1
"Milan, MI 48160",American Bully,1
"Milan, MI 48160",German Shepherd Dog,1
"Monroe, MI 48161",Boxer,1
"Muskegon, MI 49442",American Bulldog,1
"Muskegon, MI 49442",American Staffordshire Terrier,1
"Muskegon, MI 49442",Australian Cattle Dog / Blue Heeler,1
"Muskegon, MI 49442",Basset Hound,1
"Muskegon, MI 49442",Beagle,1
"Muskegon, MI 49442",Bull Terrier,1
"Muskegon, MI 49442",Bullmastiff,1
"Muskegon, MI 49442",Carolina Dog,1
"Muskegon, MI 49442",Corgi,1
"Muskegon, MI 49442",Dutch Shepherd,1
"Muskegon, MI 49442",Fox Terrier,1
"Muskegon, MI 49442",Foxhound,1
"Muskegon, MI 49442",Manchester Terrier,1
"Muskegon, MI 49442",Rat Terrier,1
"Muskegon, MI 49442",Treeing Walker Coonhound,1
"New Baltimore, MI 48047",American Bulldog,1
"Northville, MI 48167",American Bully,1
"Northville, MI 48167",American Staffordshire Terrier,1
"Northville, MI 48167",Pit Bull Terrier,1
"Oak Park, MI 48237",American Bully,1
"Oak Park, MI 48237",Dogo Argentino,1
"Oak Park, MI 48237",Mixed Breed,1
"Oak Park, MI 48237",Retriever,1
"Oak Park, MI 48237",Staffordshire Bull Terrier,1
"Oakland, MI 48363",Goldendoodle,1
"Oakland, MI 48363",Labrador Retriever,1
"Ortonville, MI 48462",German Shepherd Dog,1
"Oxford, MI 48371",Boxer,1
"Oxford, MI 48371",Chihuahua,1
"Oxford, MI 48371",Dachshund,1
"Oxford, MI 48371",Flat-Coated Retriever,1
"Oxford, MI 48371",Labrador Retriever,1
"Oxford, MI 48371",Shih Tzu,1
"Oxford, MI 48371",Yellow Labrador Retriever,1
"P.O. Box 190121 , Burton, MI 48519",Australian Cattle Dog / Blue Heeler,1
"P.O. Box 190121 , Burton, MI 48519",Black Mouth Cur,1
"P.O. Box 190121 , Burton, MI 48519",Labrador Retriever,1
"P.O. Box 190121 , Burton, MI 48519",Staffordshire Bull Terrier,1
"P.O. Box 27 (mailing address) 3847 Sheldon, Carsonville, MI 48419",Mixed Breed,1
"P.O. Box 29 , Armada, MI 48005",Yorkshire Terrier,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Black Labrador Retriever,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Black Mouth Cur,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Border Collie,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Hound,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Jack Russell Terrier,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Labrador Retriever,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Shepherd,1
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Staffordshire Bull Terrier,1
"P.O. Box 51935 , Livonia, MI 48151",American Staffordshire Terrier,1
"P.O. Box 51935 , Livonia, MI 48151",Boston Terrier,1
"P.O. Box 51935 , Livonia, MI 48151",Cane Corso,1
"P.O. Box 51935 , Livonia, MI 48151",Hound,1
"P.O. Box 51935 , Livonia, MI 48151",Jack Russell Terrier,1
"P.O. Box 51935 , Livonia, MI 48151",Labrador Retriever,1
"P.O. Box 51935 , Livonia, MI 48151",Staffordshire Bull Terrier,1
"P.O. Box 51935 , Livonia, MI 48151",Terrier,1
"P.O. Box 83 , Coldwater, MI 49036",American Staffordshire Terrier,1
"P.O. Box 83 , Coldwater, MI 49036",Beagle,1
"P.O. Box 83 , Coldwater, MI 49036",Great Dane,1
"P.O. Box 83 , Coldwater, MI 49036",Jack Russell Terrier,1
"P.O. Box 83 , Coldwater, MI 49036",Miniature Pinscher,1
"PETCO STORE   23 Mile Road & Gratiot , Macomb, MI 48042",Australian Cattle Dog / Blue Heeler,1
"PO BOX 1 , Trufant, MI 49347",Shih Tzu,1
"PO BOX 1 , Trufant, MI 49347",Yorkshire Terrier,1
"PO Box 180155 , Utica, MI 48318",Australian Cattle Dog / Blue Heeler,1
"PO Box 180155 , Utica, MI 48318",Australian Shepherd,1
"PO Box 180155 , Utica, MI 48318",Border Collie,1
"PO Box 180155 , Utica, MI 48318",Boxer,1
"PO Box 180155 , Utica, MI 48318",Coonhound,1
"PO Box 180155 , Utica, MI 48318",Mixed Breed,1
"PO Box 180155 , Utica, MI 48318",Shih Tzu,1
"PO Box 251 , Paw Paw, MI 49079",Bichon Frise,1
"PO Box 251 , Paw Paw, MI 49079",Terrier,1
"PO Box 264 , Linwood, MI 48634",Labrador Retriever,1
"PO Box 264 , Linwood, MI 48634",Pit Bull Terrier,1
"PO Box 285 , Frankenmuth, MI 48734",Labrador Retriever,1
"PO Box 285 , Frankenmuth, MI 48734",Staffordshire Bull Terrier,1
"PO Box 32 , Howell, MI 48844",Mixed Breed,1
"PO Box 3295 2938 Business One Drive, Kalamazoo, MI 49003",Shar-Pei,1
"PO Box 3295 2938 Business One Drive, Kalamazoo, MI 49003",Shih Tzu,1
"PO Box 475 7645 West 48th Street, Fremont, MI 49412",Labrador Retriever,1
"PO Box 475 7645 West 48th Street, Fremont, MI 49412",Miniature Pinscher,1
"PO Box 606 , Garden City, MI 48136",Black Mouth Cur,1
"PO Box 606 , Garden City, MI 48136",Jack Russell Terrier,1
"PO Box 606 , Garden City, MI 48136",Shepherd,1
"PO Box 62 , Lake Orion, MI 48361",American Bulldog,1
"PO Box 62 , Lake Orion, MI 48361",Beagle,1
"PO Box 62 , Lake Orion, MI 48361",Black Labrador Retriever,1
"PO Box 62 , Lake Orion, MI 48361",Black and Tan Coonhound,1
"PO Box 62 , Lake Orion, MI 48361",Border Collie,1
"PO Box 62 , Lake Orion, MI 48361",Corgi,1
"PO Box 62 , Lake Orion, MI 48361",Pug,1
"PO Box 62 , Lake Orion, MI 48361",Retriever,1
"PO Box 62 , Lake Orion, MI 48361",Shepherd,1
"PO Box 62 , Lake Orion, MI 48361",Staffordshire Bull Terrier,1
"PO Box 673 , Richland, MI 49083",Terrier,1
"PO Box 7056 , Huntington Woods, MI 48070",Chihuahua,1
"PO Box 7056 , Huntington Woods, MI 48070",Retriever,1
"PO Box 7056 , Huntington Woods, MI 48070",Shepherd,1
"Pigeon, MI 48755",Feist,1
"Pigeon, MI 48755",Shepherd,1
"Plymouth, MI 48170",American Bulldog,1
"Plymouth, MI 48170",American Staffordshire Terrier,1
"Plymouth, MI 48170",Basset Hound,1
"Plymouth, MI 48170",Boxer,1
"Plymouth, MI 48170",Cocker Spaniel,1
"Plymouth, MI 48170",Coonhound,1
"Plymouth, MI 48170",Schnauzer,1
"Plymouth, MI 48170",Shih Tzu,1
"Pontiac, MI 48341",American Bulldog,1
"Pontiac, MI 48341",Chihuahua,1
"Pontiac, MI 48341",Hound,1
"Pontiac, MI 48341",Labrador Retriever,1
"Portland, MI 48875",Doberman Pinscher,1
"Ray, MI 48096",Shar-Pei,1
"Reed City, MI 49677",Boxer,1
"Reed City, MI 49677",Labrador Retriever,1
"Reed City, MI 49677",Pit Bull Terrier,1
"Rochester Hills, MI 48309",Pit Bull Terrier,1
"Rochester Hills, MI 48309",Shepherd,1
"Saginaw, MI 48602",Akita,1
"Saginaw, MI 48602",American Bulldog,1
"Saginaw, MI 48602",Australian Cattle Dog / Blue Heeler,1
"Saginaw, MI 48602",Bluetick Coonhound,1
"Saginaw, MI 48602",Boxer,1
"Saginaw, MI 48602",Chow Chow,1
"Saginaw, MI 48602",Foxhound,1
"Saginaw, MI 48602",Redbone Coonhound,1
"Saginaw, MI 48602",Siberian Husky,1
"Saginaw, MI 48602",Treeing Walker Coonhound,1
"Saginaw, MI 48603",Boston Terrier,1
"Saginaw, MI 48603",German Shepherd Dog,1
"Saginaw, MI 48603",Husky,1
"Saginaw, MI 48603",Labrador Retriever,1
"Saginaw, MI 48603",Mixed Breed,1
"Saugatuck, MI 49453",Great Pyrenees,1
"South Lyon, MI 48178",Cockapoo,1
"South Lyon, MI 48178",Cocker Spaniel,1
"South Lyon, MI 48178",Jack Russell Terrier,1
"St Johns, MI 48879",Terrier,1
